post,spam_label,subject
http://www.ebay.com/itm/131275322914?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,spam,NA
 Haha! So now who is talking? Just some dogs barking. And I don't care about you anymore so shut up.,spam,NA
https://www.facebook.com/pages/%D8%AA%D8%AD%D9%85%D9%8A%D9%84-%D8%A7%D8%AC%D9%85%D9%84-%D8%A7%D9%84%D8%A7%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89___-music/674732645945877 ﻿,spam,NA
"Hello! I'm Marian. Besides studying, singing is my side hustle! I was part of a boy-girl band named cubik, and I'm now singing on my own  'cause I wanted to play my own pop and pop-rock songs.  It would mean a lot if you could have a look at my channel to check my  music and watch my new video!! and if u like, subscribe to it! XOXO THANKS!!  PS: if you like a lot my channel, you can share it with your friends!!  Haha!! LOL ��",spam,NA
Calling you an idiot would be an insult to stupid people. YOU are much worse than that !! HAHA PITY ON YOU!,spam,NA
You are so fat that your photo is still printing!,spam,NA
You always make the stupidest mistake. Always making brainless choices.,spam,NA
Crazy woman. Always talking shit about others. Have you seen yourself in the mirror?,spam,NA
http://www.bubblews.com/news/6401116-vps-solutions﻿,spam,NA
You are such a big mistake which cannot be fixed! HAHA.. How your parents are surviving you?,spam,NA
"  HI!:D!:) I am MELODY ,17 year old girl :) I DID SOME COVERS IN MY FREE TIME!!DID A COVER OF BIRTHDAY BY KATY PERRY!!  PLEASE JUST TAKE 1 SECOND AND WATCH IT!! THANKS, ….    !!!  &lt;3  XX HAVE A NICE DAY!!:D﻿",spam,NA
Nicee!!sabrosura viva https://soundcloud.com/yerki-elinmigrante/yerki-myb-move-your-body﻿,spam,NA
"Hey guys go to check my Post on ""growtopia my story""﻿",spam,NA
http://shhort.com/a?r=Jt2ufxHxc﻿,spam,NA
If idiots could fly than your house would be an airport!,spam,NA
"You're a broken pencil, totally pointless.",spam,NA
Go away you dirty dog! Go bark somewhere else..,spam,NA
I cannot actually tolerate a jerk like you . ,spam,NA
Seriously why do you still exist? I hope that you break your leg die someday!,spam,NA
Thank you for liking my post guys! Love you all. Please follow more such content on my insta @axe.f?lrf!jonssons﻿,spam,NA
"Okay guys listen, here is a cute love story! Leave this topic and go watch this first!! I DARE YOU !! http://www.wattpad.com/story/26032883-she-can-love-you-good﻿",spam,NA
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,spam,NA
"Check out our vids, our songs are awesome! And that I guarantee :)﻿",spam,NA
Click For iTunes code http://shhort.com/a?r=0LaviqU2b﻿,spam,NA
This content is awesome and I loved it so much . You achieved so much and I couldn't believe that . Guys if  you could take 1min to go to my channel and watch my first video I would be  greatly thankful for this :) ty guys you're awesome xoxo﻿,spam,NA
Hi guys i sell Jack Daniel's Hard Back Cover Case for iPhone 5 5S 5C 4S 4   6'' Old Time with only 3 Dollars on Ebay:  http://www.ebay.com/itm/251638183951?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,spam,NA
Can you check my posts please? Don't hate me :( Give me one opportunity﻿,spam,NA
" ATTENTION !! I have some serious health issues and need money for treatment!! We dont have time on hand, Its Time Wasting. View it only for 30 sec for funding me 10 bucks!!. Plz thumbs up and share﻿",spam,NA
"hey guys i really want to attempt this contest  so i need a lot of likes and im loosing :( so please if you could like  this picture it would be very nice, thank you :) https://www.facebook.com/exagdl/photos/a.936868579660284.1073741943.111719098841907/937732262907249/?type=1&amp;theater ﻿",spam,NA
"Great explanation! Admire your creativity! A kind request, Check  out our channel for no nonsense mobile tech reviews and comparisons as well  as an iPhone 6 and 6 Plus review and comparison!",spam,NA
Like my comment RIGHT NOW if you wish not to fail in upcoming exams!!!,spam,NA
You deserve my middle finger for sure XD !,spam,NA
why are you studying girl? You are the one who will take a huge amount of alimony from your husband as you are good for nothing!,spam,NA
https://www.reverbnation.com/slicknick313/songs﻿,spam,NA
Why don't you tall me that you are being jealous of me.,spam,NA
"People, here is a new network for college students...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so on...don't waste your time here for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",spam,NA
"Bored after stydying too much? #nowplaying ""Weekendmix"" track 04 : Katy Perry - Roar (DJ Denis Shmelev &amp; DJ Alex Serov Remix) http://youtu.be/CevxZvSJLk8   Listen live at: www.smartfm.nl/livestream.html﻿",spam,NA
"You are so fake spoken, even a plastic is jealous of you!",spam,NA
LOL you are so funny when you're mad,spam,NA
https://viralangels.com/user/d4aaacwk﻿,spam,NA
If interested in making extra money by internet use the next link www.swagbucks.com/refer/Nonturtle02﻿,spam,NA
Dude why are you vomiting here? Go away and die with your already dead brain !,spam,NA
"Hello, nice to talk to you! follow me on instagram bigboss286﻿",spam,NA
Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,spam,NA
NOBODY asked you Dumbass !!,spam,NA
"OH leave from here, you FOOL! You're the only one being so annoying here!",spam,NA
Please look at my post and hit like if you agree with me !,spam,NA
"My three bigger secrets are: check out https://Secret ?by !Austin@"" Mahone's>{ NEW Single!﻿",spam,NA
Now let's talk on fb ! https://www.facebook.com/pages/Nailey-nicool/629410220489046?ref=hl like  mee﻿,spam,NA
"Look who is talking? Will you please shut up, you fat bitch!",spam,NA
Hi everyone! My dream is to have 1 million followers Some people do not believe in me but maybe you will. It's part of my life and it pushes me to be a better person! Please give me a chance by giving me a thumbs up! If you love my ambition please LIKE!﻿,spam,NA
"Seriously, you are being too much now. Always a slacky oversmart faggot who is also teacher's pet!",spam,NA
Really it is Off - topic but let me tell you something.. My Beautiful Bella has been diagnosed with Wobbler's Syndrome. There is no  way we could afford to do her MRI or surgery. She is not just a dog she is  a very special member of our family. Without the surgery we fear we will  lose her. Please help!  http://www.gofundme.com/f7ekgw﻿,spam,NA
https://www.facebook.com/pages/Komedi-burda-gel/775510675841486﻿,spam,NA
https://www.facebook.com/profile.php?id=100007085325116﻿,spam,NA
DOWNLOAD RAPID FACEBOOK FOR FREE NOW https://play.google.com/store/apps/details?id=com.rapid.facebook.magicdroid﻿,spam,NA
Shut the fk up ! Close your filthy mouth and get out!,spam,NA
"Obviously, as I am a topper so I know more than a failing psycho!",spam,NA
Get in loser! We're going higher unlike YOU!!,spam,NA
OMG!I can't believe somebody can be THAT MUCH dumb! ,spam,NA
Has anyone tell you before about how ugly you actually look?,spam,NA
VOTE FOR PW FOR BEST STUDY PLATFORM NOMINATION! http://tv.mtvema.com/best/khtf/i38xh1﻿,spam,NA
You are such a loser! How can you get each damn answer wrong? Dumbhead heh!,spam,NA
"I hate you, you poor, dirty , crazy piece of shit!",spam,NA
"Hello guys, I was studying yesterday and suddenly I discovered a channel which offers free exam notes! Go check it out here: https://exam.fever!gvh?coins""{\collect@dnjck",spam,NA
Haha you suck! poopie nigga ,spam,NA
You are shorter than my socks! Literal bookworm with no proper knowledge.. Huh,spam,NA
"Hey ! I know most people don't like these kind of posts specially here and ; see at spam,  but I see as free advertising . So please check out my cover of Sparks Fly  by Taylor Swift ! It is not the best ever I know, but maybe with some  encouraging words of wisdom from many of you I can become better! Please go  to my channel and check it out !﻿",spam,NA
"You have your entire life to be an idiot. So, why waste my time today? PLEASE STOP!!",spam,NA
I don't like you even a bit. Will you please stop being oversmart acting like you know everything?,spam,NA
This explanation SUCKS! Check out my video explanation here! thanks -&gt;   /watch?v=NO9pOVZ9OIQ&amp;list=UUltuCDIHsDeI01by1OW7WuQ﻿,spam,NA
Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,spam,NA
Shut up if you don't understand the basics! You know nothing and act like Einstein! Such a waste.,spam,NA
Welcome party pooper! What a stupid logic to build and also post it in this forum! Why don't you realize that you are insulting yourself?,spam,NA
 Learn to HACK Facebook accounts !! http://hackfbaccountlive.com/?ref=4477063﻿,spam,NA
I don't wanna waste my time here talking to you! You are such a waste of time and money! Why haven't your parents disown you?,spam,NA
How can I reverse an array without using an extra array?,genuine,DSA
What is the most efficient way to find duplicate elements in an array?,genuine,DSA
How do prefix sums help in solving range query problems?,genuine,DSA
Why is binary search faster than linear search on sorted arrays?,genuine,DSA
How can I find the maximum subarray sum efficiently?,genuine,DSA
What is the difference between static and dynamic arrays?,genuine,DSA
How can I rotate an array by k positions?,genuine,DSA
What is the best approach to merge two sorted arrays?,genuine,DSA
How do I identify whether an array contains a majority element?,genuine,DSA
What techniques are used to solve sliding window problems?,genuine,DSA
How does a singly linked list differ from a doubly linked list?,genuine,DSA
What are the advantages of using linked lists over arrays?,genuine,DSA
How can I detect a cycle in a linked list?,genuine,DSA
What is Floyd's Cycle Detection Algorithm?,genuine,DSA
How do I reverse a linked list iteratively?,genuine,DSA
What is the time complexity of inserting a node at the beginning of a linked list?,genuine,DSA
How can two sorted linked lists be merged efficiently?,genuine,DSA
What are the use cases of circular linked lists?,genuine,DSA
How do I find the middle node of a linked list in one traversal?,genuine,DSA
What is the difference between a circular and doubly linked list?,genuine,DSA
Why are stacks useful for expression evaluation?,genuine,DSA
How is stack memory different from heap memory?,genuine,DSA
What applications use stacks in real-world systems?,genuine,DSA
How can I implement a stack using arrays?,genuine,DSA
How can a stack be implemented using linked lists?,genuine,DSA
What causes stack overflow and how can it be prevented?,genuine,DSA
How is recursion internally managed using stacks?,genuine,DSA
How do postfix expressions simplify arithmetic evaluation?,genuine,DSA
What is the purpose of the peek operation in a stack?,genuine,DSA
How can two stacks be implemented in a single array?,genuine,DSA
What is the difference between a queue and a stack?,genuine,DSA
Why is a queue considered a FIFO data structure?,genuine,DSA
How can a queue be implemented using linked lists?,genuine,DSA
What are common applications of queues in operating systems?,genuine,DSA
How can a queue be implemented using two stacks?,genuine,DSA
What are the advantages of circular queues over linear queues?,genuine,DSA
How do front and rear pointers work in a circular queue?,genuine,DSA
How can queue overflow occur in a linear queue?,genuine,DSA
What is a deque and where is it used?,genuine,DSA
How does a priority queue differ from a normal queue?,genuine,DSA
What are the key characteristics of tree data structures?,genuine,DSA
How is a binary tree different from a general tree?,genuine,DSA
What are leaf nodes and internal nodes in a tree?,genuine,DSA
"How do preorder, inorder, and postorder traversals differ?",genuine,DSA
What is the height of a binary tree and how is it calculated?,genuine,DSA
How can recursion be used to traverse trees?,genuine,DSA
What is a complete binary tree?,genuine,DSA
What is a full binary tree?,genuine,DSA
How can the diameter of a tree be determined?,genuine,DSA
What are common real-world applications of tree structures?,genuine,DSA
Why are Binary Search Trees more efficient than binary trees for searching?,genuine,DSA
How does insertion work in a Binary Search Tree?,genuine,DSA
What happens when a node is deleted from a BST?,genuine,DSA
How can the minimum element be found in a BST?,genuine,DSA
Why can BST performance degrade in skewed trees?,genuine,DSA
How does inorder traversal produce sorted output in a BST?,genuine,DSA
What are predecessor and successor nodes in a BST?,genuine,DSA
How can BST search complexity vary with tree shape?,genuine,DSA
What causes imbalance in a Binary Search Tree?,genuine,DSA
How is a balanced BST different from an unbalanced BST?,genuine,DSA
Why were AVL trees introduced?,genuine,DSA
How do AVL trees maintain balance after insertion?,genuine,DSA
What is a balance factor in AVL trees?,genuine,DSA
When is a left rotation performed in an AVL tree?,genuine,DSA
What is the purpose of a right rotation in AVL trees?,genuine,DSA
How do AVL trees improve search performance?,genuine,DSA
What is a double rotation in AVL trees?,genuine,DSA
How can AVL trees prevent worst-case search complexity?,genuine,DSA
What is the difference between AVL trees and Red-Black trees?,genuine,DSA
Why are self-balancing trees important in databases?,genuine,DSA
What is a heap data structure and where is it used?,genuine,DSA
How is a max heap different from a min heap?,genuine,DSA
How can a heap be represented using arrays?,genuine,DSA
Why is heap sort considered an in-place sorting algorithm?,genuine,DSA
What are the advantages of using priority queues implemented with heaps?,genuine,DSA
How does insertion work in a binary heap?,genuine,DSA
What is heapify and why is it important?,genuine,DSA
How can the root element be removed from a heap?,genuine,DSA
What are some applications of heaps in scheduling systems?,genuine,DSA
Why is heap construction faster than repeated insertion?,genuine,DSA
What are vertices and edges in graph theory?,genuine,DSA
How is a graph represented using an adjacency matrix?,genuine,DSA
What are the advantages of adjacency lists over adjacency matrices?,genuine,DSA
How does Breadth First Search traverse a graph?,genuine,DSA
What is the difference between BFS and DFS?,genuine,DSA
How can cycle detection be performed in graphs?,genuine,DSA
What is topological sorting and where is it used?,genuine,DSA
How does Dijkstra�s algorithm find the shortest path?,genuine,DSA
What is a spanning tree in graph theory?,genuine,DSA
How can minimum spanning trees be constructed using Kruskal�s algorithm?,genuine,DSA
What are connected and disconnected graphs?,genuine,DSA
How do weighted graphs differ from unweighted graphs?,genuine,DSA
Why are graphs widely used in social networks and routing systems?,genuine,DSA
How does hashing help achieve constant-time search operations?,genuine,DSA
What causes collisions in hash tables and how are they resolved?,genuine,DSA
What is dynamic programming and when should it be applied?,genuine,DSA
How do greedy algorithms differ from dynamic programming approaches?,genuine,DSA
What are overlapping subproblems in dynamic programming?,genuine,DSA
How does memoization improve recursive algorithms?,genuine,DSA
What are the advantages and limitations of recursion?,genuine,DSA
What is a deadlock? Can someone explain with an example?,genuine,OS
What is the primary role of an operating system in a computer?                          ,genuine,OS
   How does a process differ from a program?                                               ,genuine,OS
   What are the different states of a process?                                             ,genuine,OS
   How does process scheduling improve system performance?                                 ,genuine,OS
   What is context switching and why is it necessary?                                      ,genuine,OS
   How does CPU scheduling affect response time? What is total throughput time?                                          ,genuine,OS
   What is the difference between preemptive and non-preemptive scheduling?                ,genuine,OS
   How does Round Robin scheduling work?                                                   ,genuine,OS
   What are the advantages of Shortest Job First scheduling?                               ,genuine,OS
   Why can FCFS scheduling cause the convoy effect?                                        ,genuine,OS
   What is a thread and how is it different from a process?                                ,genuine,OS
   How do multithreaded applications improve performance?                                  ,genuine,OS
   What are user-level threads and kernel-level threads?                                   ,genuine,OS
   How does thread synchronization work?                                                   ,genuine,OS
   What is a race condition in concurrent programming?                                     ,genuine,OS
   How do mutexes prevent race conditions?                                                 ,genuine,OS
   What is the purpose of semaphores in operating systems?                                 ,genuine,OS
   How does the producer-consumer problem illustrate synchronization issues?               ,genuine,OS
   What is a critical section in process synchronization?                                  ,genuine,OS
   How can deadlocks occur in a multi-process environment?                                 ,genuine,OS
   What are the four necessary conditions for deadlock?                                    ,genuine,OS
   How does deadlock prevention differ from deadlock avoidance?                            ,genuine,OS
   What is the Banker's Algorithm used for?                                                ,genuine,OS
   How can deadlock detection be implemented?                                              ,genuine,OS
   What happens when a deadlock is detected?                                               ,genuine,OS
   What is memory management in an operating system?                                       ,genuine,OS
   How does paging help manage memory efficiently?                                         ,genuine,OS
   What is segmentation in memory management?                                              ,genuine,OS
   How do paging and segmentation differ?                                                  ,genuine,OS
   What is virtual memory and why is it important?                                         ,genuine,OS
   How does demand paging work?                                                            ,genuine,OS
   What causes page faults in virtual memory systems?                                      ,genuine,OS
   What is thrashing and how can it be reduced?                                            ,genuine,OS
   How does swapping improve memory utilization?                                           ,genuine,OS
   What is internal fragmentation in memory allocation?                                    ,genuine,OS
   What is external fragmentation and how does it occur?                                   ,genuine,OS
   How does compaction reduce memory fragmentation?                                        ,genuine,OS
   What are fixed and dynamic partitioning techniques?                                     ,genuine,OS
   How does the operating system allocate memory to processes?                             ,genuine,OS
   What is the role of page replacement algorithms?                                        ,genuine,OS
   How does FIFO page replacement work?                                                    ,genuine,OS
   What are the drawbacks of FIFO page replacement?                                        ,genuine,OS
   How does LRU page replacement improve performance?                                      ,genuine,OS
   What is Belady�s anomaly in page replacement?                                           ,genuine,OS
   How does Optimal Page Replacement achieve the best results?                             ,genuine,OS
   What is a file system and why is it needed?                                             ,genuine,OS
   How are files organized in storage devices?                                             ,genuine,OS
   What is the difference between a file and a directory?                                  ,genuine,OS
   How do operating systems manage file permissions?                                       ,genuine,OS
   What is the purpose of file allocation methods?                                         ,genuine,OS
   How does contiguous file allocation work?                                               ,genuine,OS
   What are the advantages of linked file allocation?                                      ,genuine,OS
   How does indexed file allocation improve access efficiency?                             ,genuine,OS
   What is journaling in modern file systems?                                              ,genuine,OS
   How do operating systems handle file deletion?                                          ,genuine,OS
   What is the purpose of a disk scheduler?                                                ,genuine,OS
   How does FCFS disk scheduling work?                                                     ,genuine,OS
   What are the benefits of SSTF disk scheduling?                                          ,genuine,OS
   How does SCAN disk scheduling reduce seek time?                                         ,genuine,OS
   What is the difference between SCAN and C-SCAN algorithms?                              ,genuine,OS
   How do interrupts improve CPU efficiency?                                               ,genuine,OS
   What is an interrupt service routine?                                                   ,genuine,OS
   How does the operating system handle hardware interrupts?                               ,genuine,OS
   What is the difference between interrupts and polling?                                  ,genuine,OS
   What are system calls in operating systems?                                             ,genuine,OS
   How do user programs interact with the kernel?  What is shell in CPU?                             ,genuine,OS
   What is the purpose of kernel mode and user mode?                                       ,genuine,OS
   How does mode switching occur during execution?                                         ,genuine,OS
   What are the responsibilities of the kernel?                                            ,genuine,OS
   How does a monolithic kernel differ from a microkernel?                                 ,genuine,OS
   What are the advantages of microkernel architecture?                                    ,genuine,OS
   How does process creation occur in Linux?                                               ,genuine,OS
   What is the role of the fork() system call?                                             ,genuine,OS
   How does exec() differ from fork()?                                                     ,genuine,OS
   What is inter-process communication (IPC)?                                              ,genuine,OS
   How do pipes facilitate communication between processes?                                ,genuine,OS
   What are message queues used for in IPC?                                                ,genuine,OS
   How does shared memory improve communication speed?                                     ,genuine,OS
   What are signals in operating systems?                                                  ,genuine,OS
   How does process termination occur?                                                     ,genuine,OS
   What is a zombie process and how is it created?                                         ,genuine,OS
   What is an orphan process in Linux?                                                     ,genuine,OS
   How does process synchronization improve consistency?                                   ,genuine,OS
   What are real-time operating systems?                                                   ,genuine,OS
   How do hard real-time systems differ from soft real-time systems?                       ,genuine,OS
   What are the characteristics of distributed operating systems?                          ,genuine,OS
   How does a network operating system function?                                           ,genuine,OS
   What are the advantages of multiprocessor systems?                                      ,genuine,OS
   How does load balancing improve operating system performance?                           ,genuine,OS
   What is the purpose of cache memory in modern systems?                                  ,genuine,OS
   How does buffering improve I/O operations?                                              ,genuine,OS
   What is spooling and where is it used?                                                  ,genuine,OS
   How do operating systems ensure security and protection?                                ,genuine,OS
   What are access control mechanisms in operating systems?                                ,genuine,OS
   How does authentication help secure a system?                                           ,genuine,OS
   What is privilege escalation and why is it dangerous?                                   ,genuine,OS
   How does virtualization relate to operating systems?                                    ,genuine,OS
   What are the advantages of virtual machines?                                            ,genuine,OS
   How do containers differ from virtual machines?    ,genuine,OS
What is the primary purpose of a Database Management System?,genuine,DBMS
How does a DBMS differ from a traditional file system?,genuine,DBMS
What are the key advantages of using databases?,genuine,DBMS
What is data redundancy and how can it be minimized?,genuine,DBMS
How does data independence improve database design?,genuine,DBMS
What are the different types of database users?,genuine,DBMS
How do relational databases organize information?,genuine,DBMS
What is the significance of tables in a relational database?,genuine,DBMS
What is an entity in database design?,genuine,DBMS
How do attributes describe an entity?,genuine,DBMS
What is the purpose of an ER diagram?,genuine,DBMS
How do strong entities differ from weak entities?,genuine,DBMS
What are relationships in ER modeling? How we can form tables using it?,genuine,DBMS
How is cardinality represented in ER diagrams?,genuine,DBMS
What is participation constraint in ER modeling?,genuine,DBMS
What is a primary key and why is it important?,genuine,DBMS
How does a foreign key maintain data integrity?,genuine,DBMS
What is the difference between candidate keys and primary keys?,genuine,DBMS
How do composite keys uniquely identify records?,genuine,DBMS
What is a super key in a relational database?,genuine,DBMS
What is normalization and why is it required?,genuine,DBMS
How does First Normal Form eliminate repeating groups?,genuine,DBMS
What are the conditions for Second Normal Form?,genuine,DBMS
How does Third Normal Form reduce redundancy?,genuine,DBMS
What problems are solved by BCNF?,genuine,DBMS
How does normalization improve database consistency?,genuine,DBMS
What is denormalization and when is it useful?,genuine,DBMS
What are the trade-offs between normalization and denormalization?,genuine,DBMS
How can redundant data affect database performance?,genuine,DBMS
Why is schema design important in DBMS?,genuine,DBMS
What is SQL and why is it widely used?,genuine,DBMS
How does the SELECT statement retrieve data?,genuine,DBMS
What is the purpose of the WHERE clause?,genuine,DBMS
How do ORDER BY and GROUP BY differ?,genuine,DBMS
What is the role of aggregate functions in SQL?,genuine,DBMS
How can COUNT() be used in database queries?,genuine,DBMS
What is the difference between DELETE and TRUNCATE?,genuine,DBMS
How does UPDATE modify existing records?,genuine,DBMS
What is the purpose of the INSERT statement?,genuine,DBMS
How can DISTINCT remove duplicate values from results?,genuine,DBMS
What are joins and why are they important?,genuine,DBMS
How does an INNER JOIN work?,genuine,DBMS
What is the difference between LEFT JOIN and RIGHT JOIN?,genuine,DBMS
How does a FULL OUTER JOIN combine records?,genuine,DBMS
What are self joins and when are they used?,genuine,DBMS
How do cross joins generate combinations of records?,genuine,DBMS
What is the purpose of subqueries in SQL?,genuine,DBMS
How do correlated subqueries differ from normal subqueries?,genuine,DBMS
What are views and why are they useful?,genuine,DBMS
How do materialized views improve performance?,genuine,DBMS
What is a transaction in DBMS?,genuine,DBMS
How do transactions ensure data consistency?,genuine,DBMS
What are the ACID properties of transactions?,genuine,DBMS
How does atomicity guarantee reliable execution?,genuine,DBMS
Why is consistency important in transactions?,genuine,DBMS
How does isolation prevent interference between transactions?,genuine,DBMS
What is durability in transaction management?,genuine,DBMS
How do COMMIT and ROLLBACK work?,genuine,DBMS
What are savepoints used for in transactions?,genuine,DBMS
How does transaction recovery restore data after failures?,genuine,DBMS
What is concurrency control in DBMS?,genuine,DBMS
How do locks prevent data inconsistencies?,genuine,DBMS
What is the difference between shared and exclusive locks?,genuine,DBMS
How does two-phase locking maintain serializability?,genuine,DBMS
What causes deadlocks in database systems?,genuine,DBMS
How can deadlocks be detected and resolved?,genuine,DBMS
What is timestamp-based concurrency control?,genuine,DBMS
How does optimistic concurrency control work?,genuine,DBMS
What is serializability in transaction processing?,genuine,DBMS
How do isolation levels affect database performance?,genuine,DBMS
What is indexing and why is it important?,genuine,DBMS
How do indexes speed up data retrieval?,genuine,DBMS
What is the difference between clustered and non-clustered indexes?,genuine,DBMS
How do B-Trees support efficient searching?,genuine,DBMS
What are hash indexes used for?,genuine,DBMS
How can excessive indexing reduce performance?,genuine,DBMS
What is query optimization in DBMS     ?,genuine,DBMS
How does a query optimizer choose execution plans?,genuine,DBMS
What factors influence query performance?,genuine,DBMS
How can indexing improve query optimization?,genuine,DBMS
What is database recovery and why is it needed?,genuine,DBMS
How does checkpointing help in recovery?,genuine,DBMS
What are log files used for in DBMS  ?,genuine,DBMS
How does crash recovery restore database consistency?,genuine,DBMS
What is shadow paging in recovery management?,genuine,DBMS
What is a distributed database system?,genuine,DBMS
How does data fragmentation work in distributed databases?,genuine,DBMS
What are the benefits of database replication?,genuine,DBMS
How do distributed transactions maintain consistency?,genuine,DBMS
What challenges arise in distributed database environments?,genuine,DBMS
What is a NoSQL database? Does it have a relational structure?     ,genuine,DBMS
How do document databases differ from relational databases?,genuine,DBMS
What are key-value databases used for?,genuine,DBMS
How do graph databases represent relationships?,genuine,DBMS
What are the advantages of NoSQL databases for large-scale applications?,genuine,DBMS
How does database security protect sensitive information?,genuine,DBMS
What are database privileges and roles?,genuine,DBMS
How can SQL injection attacks be prevented?,genuine,DBMS
What is the role of auditing in database security?,genuine,DBMS
How does query optimization work? Can someone explain with an example?,genuine,DBMS
What is TCP/IP? Differentiate between TCP and UDP?,genuine,CN
 What is the primary purpose of a computer network?                                  ,genuine,CN
    How does a LAN differ from a WAN?                                                   ,genuine,CN
    What are the main components of a network infrastructure?                           ,genuine,CN
    Why are communication protocols necessary in networking?                            ,genuine,CN
    How does data travel between two computers on a network?                            ,genuine,CN
    What is the purpose of the OSI reference model?                                     ,genuine,CN
    How many layers are present in the OSI model?                                       ,genuine,CN
    What functions are performed by the Physical Layer?                                 ,genuine,CN
    How does the Data Link Layer ensure reliable communication?                         ,genuine,CN
    What are the responsibilities of the Network Layer?                                 ,genuine,CN
    How does the Transport Layer provide end-to-end communication?                      ,genuine,CN
    What is the role of the Session Layer in networking?                                ,genuine,CN
    How does the Presentation Layer handle data formatting?                             ,genuine,CN
    What services are provided by the Application Layer?                                ,genuine,CN
    How does the TCP/IP model differ from the OSI model?                                ,genuine,CN
    What are the layers of the TCP/IP protocol suite?                                   ,genuine,CN
    How does TCP establish a connection between devices?                                ,genuine,CN
    What is the purpose of the three-way handshake in TCP?                              ,genuine,CN
    How does TCP ensure reliable data delivery?                                         ,genuine,CN
    Why is UDP considered a connectionless protocol?                                    ,genuine,CN
    What are the key differences between TCP and UDP?                                   ,genuine,CN
    In what situations is UDP preferred over TCP?                                       ,genuine,CN
    What is an IP address and why is it required?                                       ,genuine,CN
    How does IPv4 differ from IPv6?                                                     ,genuine,CN
    What are the advantages of IPv6 over IPv4?                                          ,genuine,CN
    How is an IP address structured?                                                    ,genuine,CN
    What is subnetting and why is it used?                                              ,genuine,CN
    How does subnet masking work?                                                       ,genuine,CN
    What is CIDR notation in networking?                                                ,genuine,CN
    How do private IP addresses differ from public IP addresses?                        ,genuine,CN
    What is NAT and how does it conserve IP addresses?                                  ,genuine,CN
    How does a router forward packets across networks?                                  ,genuine,CN
    What information is stored in a routing table?                                      ,genuine,CN
    How do static routes differ from dynamic routes?                                    ,genuine,CN
    What is the purpose of routing protocols?                                           ,genuine,CN
    How does RIP determine the best path?                                               ,genuine,CN
